county_name,city
Clay,FLEMING ISLAND
Lafayette,BRANFORD
Nassau,BRYCEVILLE
Nassau,CALLAHAN
Lafayette,DAY
Columbia,LAKE CITY
St. Johns,ELKTON
Nassau,FERNANDINA BEACH
Columbia,FORT WHITE
Baker,GLEN SAINT MARY
Clay,GREEN COVE SPRINGS
Bradford,HAMPTON
Nassau,HILLIARD
Hamilton,JASPER
Hamilton,JENNINGS
Union,LAKE BUTLER
Bradford,LAWTEY
Madison,LEE
Suwannee,LIVE OAK
Columbia,LULU
Suwannee,MCALPIN
Baker,MACCLENNY
Clay,ORANGE PARK
Lafayette,MAYO
Clay,MIDDLEBURG
Suwannee,O'BRIEN
Clay,PENNEY FARMS
St. Johns,SAINT AUGUSTINE
St. Johns,PONTE VEDRA
St. Johns,PONTE VEDRA BEACH
Union,RAIFORD
Baker,SANDERSON
Bradford,STARKE
Suwannee,WELLBORN
Columbia,WHITE SPRINGS
Nassau,YULEE
Lake,ASTOR
Flagler,BUNNELL
Putnam,CRESCENT CITY
Marion,CITRA
Volusia,DAYTONA BEACH
Volusia,PORT ORANGE
Volusia,DE LEON SPRINGS
Putnam,EAST PALATKA
Volusia,EDGEWATER
Marion,EASTLAKE WEIR
Marion,FORT MCCOY
Flagler,FLAGLER BEACH
Flagler,PALM COAST
Putnam,GEORGETOWN
Putnam,FLORAHOME
St. Johns,HASTINGS
Putnam,HOLLISTER
Putnam,INTERLACHEN
Putnam,LAKE COMO
Lake,LADY LAKE
Sumter,THE VILLAGES
Volusia,NEW SMYRNA BEACH
Volusia,ORMOND BEACH
Putnam,PALATKA
Marion,OCKLAWAHA
Volusia,PIERSON
Putnam,POMONA PARK
Marion,ORANGE SPRINGS
Putnam,SAN MATEO
Putnam,SATSUMA
Volusia,SEVILLE
Marion,SPARR
Putnam,WELAKA
Marion,WEIRSDALE
Duval,JACKSONVILLE
Duval,ATLANTIC BEACH
Duval,JACKSONVILLE BEACH
St. Johns,SAINT JOHNS
Duval,NEPTUNE BEACH
Leon,TALLAHASSEE
Franklin,APALACHICOLA
Liberty,BRISTOL
Franklin,CARRABELLE
Franklin,LANARK VILLAGE
Gadsden,CHATTAHOOCHEE
Wakulla,CRAWFORDVILLE
Franklin,EASTPOINT
Gadsden,GREENSBORO
Madison,GREENVILLE
Gadsden,GRETNA
Gadsden,HAVANA
Liberty,HOSFORD
Taylor,LAMONT
Jefferson,LLOYD
Madison,MADISON
Gadsden,MIDWAY
Jefferson,MONTICELLO
Wakulla,PANACEA
Taylor,PERRY
Madison,PINETTA
Gadsden,QUINCY
Wakulla,SAINT MARKS
Taylor,SALEM
Wakulla,SOPCHOPPY
Dixie,STEINHATCHEE
Liberty,TELOGIA
Jefferson,WACISSA
Bay,PANAMA CITY
Bay,PANAMA CITY BEACH
Bay,MEXICO BEACH
Jackson,ALFORD
Calhoun,ALTHA
Jackson,BASCOM
Calhoun,BLOUNTSTOWN
Holmes,BONIFAY
Jackson,CAMPBELLTON
Washington,CARYVILLE
Washington,CHIPLEY
Calhoun,CLARKSVILLE
Jackson,COTTONDALE
Jackson,CYPRESS
Walton,DEFUNIAK SPRINGS
Washington,EBRO
Bay,FOUNTAIN
Walton,FREEPORT
Jackson,GRACEVILLE
Jackson,GRAND RIDGE
Jackson,GREENWOOD
Bay,LYNN HAVEN
Jackson,MALONE
Jackson,MARIANNA
Calhoun,WEWAHITCHKA
Walton,PONCE DE LEON
Gulf,PORT SAINT JOE
Walton,SANTA ROSA BEACH
Jackson,SNEADS
Walton,INLET BEACH
Washington,VERNON
Washington,WAUSAU
Holmes,WESTVILLE
Gulf,WEWAHITCHKA
Bay,YOUNGSTOWN
Escambia,PENSACOLA
Santa Rosa,BAGDAD
Okaloosa,BAKER
Escambia,CANTONMENT
Escambia,CENTURY
Okaloosa,CRESTVIEW
Okaloosa,DESTIN
Okaloosa,EGLIN AFB
Okaloosa,HURLBURT FIELD
Okaloosa,FORT WALTON BEACH
Walton,MIRAMAR BEACH
Escambia,GULF BREEZE
Santa Rosa,GULF BREEZE
Santa Rosa,HOLT
Santa Rosa,JAY
Santa Rosa,NAVARRE
Okaloosa,LAUREL HILL
Escambia,MCDAVID
Okaloosa,MARY ESTHER
Santa Rosa,MILTON
Escambia,MOLINO
Okaloosa,NICEVILLE
Okaloosa,SHALIMAR
Okaloosa,VALPARAISO
Alachua,GAINESVILLE
Alachua,ALACHUA
Marion,ANTHONY
Alachua,ARCHER
Gilchrist,BELL
Levy,BRONSON
