Date,Record Number,Record Type,Address,Description,Project Name,Expiration Date,Status,Action,Short Notes
02/01/2021,HC-BTR-21-0007826-2,Commercial Roof Trade Permit,,,Commercial Roof Trade Permit,08/08/2021,Cancel,,,
02/01/2021,HC-BTR-21-0007826-1,Commercial Roof Trade Permit,,Building,Building 2/3,08/08/2021,Cancel,,,
02/01/2021,HC-BTR-21-0007826,Commercial Roof Trade Permit,"1307 E 127th Ave, APT A, Tampa 33612",RE-ROOF only 1 building 50sq ft.,re roof (1) building,08/08/2021,Expired,,,
01/29/2021,HC-BTR-21-0007607,Commercial Roof Trade Permit,"15215 Livingston Ave, APT 39, Lutz 33559","tear off and re-roof units 39/40, arch. shingles, 25 squares",,01/05/2022,Complete,,,
01/29/2021,HC-BTR-21-0007606,Commercial Roof Trade Permit,"4907 Joanne Kearney Blvd, Tampa 33619","APPLY LIQUID SILICA-BASED COATING TO 166,676 SF OF EXISTING FLAT ROOF",,11/06/2021,Complete,,,
01/29/2021,HC-BTR-21-0007605,Commercial Roof Trade Permit,"6202 N Dale Mabry Hwy, Tampa 33614",Change out metal roof panels on pre-engineered steel building,,09/15/2021,Complete,,,
01/28/2021,HC-BTR-21-0007495,Commercial Roof Trade Permit,"8820 Citrus Village Dr, APT 101, Tampa 33626",REMOVE EXISTING SHINGLES AND INSTALL NEW ARCHITECTURAL ROOFING SYSTEM (ENTIRE BUILDING) INCLUDING DETACHED GARAGE APPROXIMATELY 120 SQ. (FL18355-R5 (18355.1) / FL15216-R3 (15216.1)),,08/24/2021,Complete,,,
01/28/2021,HC-BTR-21-0007494,Commercial Roof Trade Permit,"8823 Citrus Village Dr, APT 101, Tampa 33626",REMOVE EXISTING SHINGLES AND INSTALL NEW ARCHITECTURAL ROOFING SYSTEM (ENTIRE BUILDING) INCLUDING DETACHED GARAGE APPROXIMATELY 120 SQ. (FL18355-R5 (18355.1) / FL15216-R3 (15216.1)),,08/14/2021,Complete,,,
01/28/2021,HC-BTR-21-0007493,Commercial Roof Trade Permit,"8822 Citrus Village Dr, APT 101, Tampa 33626",REMOVE EXISTING SHINGLES AND INSTALL NEW ARCHITECTURAL ROOFING SYSTEM (ENTIRE BUILDING) APPROXIMATELY 67 SQ. (FL18355-R5 (18355.1) / FL15216-R3 (15216.1)),,08/14/2021,Complete,,,
01/28/2021,HC-BTR-21-0007492,Commercial Roof Trade Permit,"8902 Citrus Village Dr, APT 101, Tampa 33626",REMOVE EXISTING SHINGLES AND INSTALL NEW ARCHITECTURAL ROOFING SYSTEM (ENTIRE BUILDING) APPROXIMATELY 67 SQ. (FL18355-R5 (18355.1) / FL15216-R3 (15216.1)),,08/14/2021,Complete,,,
01/27/2021,HC-BTR-21-0007315-1,Commercial Roof Trade Permit,,,Commercial Roof Trade Permit,10/09/2021,Complete,,,
01/27/2021,HC-BTR-21-0007315,Commercial Roof Trade Permit,"5115 Joanne Kearney Blvd, Tampa 33619",APPLY LIQUID SILICA BASED COATING TO EXISTING FLAT ROOF - 44029 SF OF WAREHOUSE AND 22847 SF OF OFFICE BLDG.,,10/11/2021,Complete,,,
01/26/2021,HC-BTR-21-0007107,Commercial Roof Trade Permit,"7531 Abonado Rd, Tampa 33615",Remove/replace existing. Install underlayment (FL2569-R20) and Certainteed Shingles (FL5444-R17) 64 squares 5/12 scope,,01/22/2022,Complete,,,
01/26/2021,HC-BTR-21-0007068,Commercial Roof Trade Permit,"5840 E State Road 60, Plant City 33567",Re-roof Atlas shingles FL16305-R9 and Summit Synthetic underlayment FL16226-R5,,08/11/2021,Complete,,,
01/26/2021,HC-BTR-21-0006937,Commercial Roof Trade Permit,"6409 N 43rd St, Tampa 33610",RR/shingle,ROOF,08/01/2021,Issued,,,
01/26/2021,HC-BTR-21-0006935,Commercial Roof Trade Permit,"6413 N 43rd St, Tampa 33610",RR/shingle,ROOF,08/01/2021,Issued,,,
01/26/2021,HC-BTR-21-0006934,Commercial Roof Trade Permit,"6411 N 43rd St, Tampa 33610",RR/shingle,ROOF,08/01/2021,Issued,,,
01/26/2021,HC-BTR-21-0006930,Commercial Roof Trade Permit,"6415 N 43rd St, Tampa 33610",rr/shingle,ROOF,08/01/2021,Issued,,,
01/26/2021,HC-BTR-21-0006928,Commercial Roof Trade Permit,"6417 N 43rd St, Tampa 33610",RR/shingle,ROOF,08/01/2021,Issued,,,
01/26/2021,HC-BTR-21-0006919-1,Commercial Roof Trade Permit,,re shingle BLD 2,BLD 2/2,09/22/2021,Complete,,,
01/26/2021,HC-BTR-21-0006919,Commercial Roof Trade Permit,"403 Lithia Pinecrest Rd, Brandon 33511",RR/shingle BLD 1,BLD 1/2,09/22/2021,Complete,,,
01/26/2021,HC-BTR-21-0006908,Commercial Roof Trade Permit,"429 Newmont Cir, Unit 101, Ruskin 33570",RE-ROOF ASHPALT SHINGLES IKO AND UNDERLAYMENT RHIO SYNTHETIC PITCH ROOF 5/12,ROOF PERMIT,01/29/2022,Complete,,,
